,GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err_min,E_peak_err_max,T_RT,T_RT_err,mu,mu_err,dL,dL_err,L,L_err,E_iso,E_iso_err,E_gamma,E_gamma_err,E_peak_err,T_lag_i,T_lag_i_err,T_RT_i,T_RT_i_err,V_i,V_i_err,E_peak_i,E_peak_i_err,E_peak_i_err_min,E_peak_i_err_max,_T_lag_i,_T_lag_i_err,_V_i,_V_i_err,_E_peak_i,_E_peak_i_err,_E_peak_i_err_min,_E_peak_i_err_max,_T_RT_i,_T_RT_i_err,log_T_lag_i,log_T_lag_i_err,log_V_i,log_V_i_err,log_E_peak_i,log_E_peak_i_err,log_E_peak_i_err_min,log_E_peak_i_err_max,log_T_RT_i,log_T_RT_i_err,log_L,log_L_err,log_E_iso,log_E_iso_err,log_E_gamma,log_E_gamma_err
0,970228,0.7,7.3e-06,4.3e-07,,,,,,,0.016,0.01,115.0,38.0,38.0,,,43.237693786621094,1.3298711776733398,1.3706755913980727e+28,8.394405358098601e+27,1.7234634683157303e+52,2.1134352858683406e+52,,,,,38.0,,,,,0.0272,0.017,195.5,64.6,64.6,64.6,,,1.3599999999999999,0.8500000000000001,0.6516666666666666,0.21533333333333332,0.21533333333333332,0.21533333333333332,,,,,0.13353890837021748,0.27143405118953245,-0.18597449298777685,0.14350600271585712,0.14350600271585712,0.14350600271585712,,,52.23640208224525,0.5325632364051336,,,,
1,970508,0.84,3.3e-06,3.3e-07,8.09e-06,8.1e-07,0.0795,0.0204,0.49,0.02,0.018,0.004,389.0,40.0,40.0,0.65,0.07,43.66748046875,1.3689342737197876,1.67067516005574e+28,1.0532229084882003e+28,1.1574649130554138e+52,1.4639552208650496e+52,1.5421428107078885e+52,7.95633989028025e+51,1.2260035345127714e+51,7.0644484504572706e+50,40.0,0.266304347826087,0.010869565217391306,0.3532608695652174,0.038043478260869575,0.03312,0.007359999999999999,715.76,73.6,73.6,73.6,2.6630434782608696,0.10869565217391305,1.6559999999999997,0.36799999999999994,2.385866666666667,0.24533333333333332,0.24533333333333332,0.24533333333333332,3.532608695652174,0.38043478260869573,0.4253782570189772,0.017726305383806196,0.21906033244886125,0.09650988486738929,0.3776461696155818,0.04465753027282794,0.04465753027282794,0.04465753027282794,0.5480955336333191,0.04677017497419635,52.06350783485424,0.5492932589177404,52.18812459357909,0.22406449561628536,51.08849172223556,0.250248134965031
2,970828,0.96,1e-05,1.1e-06,0.000123,1.2e-05,0.00532,0.00144,,,0.052,0.005,298.0,30.0,30.0,0.36,0.14,43.945430755615234,1.3427356481552124,1.8988124598067368e+28,1.1741356545772411e+28,4.5307907972867903e+52,5.625373799058826e+52,2.843302388093241e+53,2.8676841742786496e+52,1.512636870465604e+51,4.3693507721972385e+50,30.0,,,0.1836734693877551,0.07142857142857144,0.10192,0.0098,584.08,58.8,58.8,58.8,,,5.096,0.49,1.9469333333333334,0.19599999999999998,0.19599999999999998,0.19599999999999998,1.836734693877551,0.7142857142857143,,,0.707229419327294,0.04175908479838959,0.2893510807130688,0.04372092099697165,0.04372092099697165,0.04372092099697165,0.2640464294108112,0.16889229851793125,52.65617400972245,0.5392146556484979,53.45382304980537,0.043801862860098274,51.17973468210042,0.1254488084295392
3,971214,3.42,7.5e-07,2.4e-08,,,,,0.03,0.05,0.048,0.002,190.0,20.0,20.0,,,45.683921813964844,1.4974751472473145,4.228441090735348e+28,2.915987058931176e+28,1.6851233499699228e+52,2.3247907025976778e+52,,,,,20.0,0.006787330316742082,0.011312217194570137,,,0.21216,0.00884,839.8,88.4,88.4,88.4,0.06787330316742081,0.11312217194570137,10.607999999999999,0.442,2.7993333333333332,0.2946666666666667,0.2946666666666667,0.2946666666666667,,,-1.1683010146294295,0.7238241365054198,1.0256335110606978,0.018095603412635494,0.4470546155822584,0.04571520862139493,0.04571520862139493,0.04571520862139493,,,52.22663169645399,0.5991512572276539,,,,
4,980703,0.97,1.2e-06,3.6e-08,2.83e-05,2.9e-06,0.0184,0.00267,0.69,0.02,0.024,0.001,254.0,25.0,25.0,3.0,0.19,44.093746185302734,1.3408952951431274,2.0330364204164457e+28,1.255410365355888e+28,6.232774688278255e+51,7.699811056677804e+51,7.4614011708238e+52,3.9208083017179966e+51,1.3728978154315792e+51,2.1187960711694933e+50,25.0,0.350253807106599,0.010152284263959392,1.5228426395939088,0.09644670050761421,0.04728,0.00197,500.38,49.25,49.25,49.25,3.5025380710659895,0.10152284263959391,2.364,0.09849999999999999,1.6679333333333333,0.16416666666666666,0.16416666666666666,0.16416666666666666,15.228426395939087,0.964467005076142,0.5443828645756623,0.012588245852268169,0.37364747220921773,0.01809560341263549,0.22217868806186852,0.0427455198723673,0.0427455198723673,0.0427455198723673,1.1826550285580695,0.027505317187205943,51.794681427645074,0.5365163383655958,52.87282039096014,0.02282125529846808,51.13763821396968,0.06702475826272151
5,990123,1.61,1.3e-05,5e-07,0.000311,3.1e-05,0.00241,0.00069,0.07,0.01,0.059,0.003,604.0,60.0,60.0,,,44.93043518066406,1.396711826324463,2.9887043649770723e+28,1.9223632377999897e+28,1.4592144849561041e+53,1.8780002401374208e+53,1.3375057613361283e+54,7.213747882504213e+52,3.223388884820069e+51,9.391112212814846e+50,60.0,0.02681992337164751,0.0038314176245210726,,,0.15399000000000002,0.007830000000000002,1576.4400000000003,156.60000000000002,156.60000000000002,156.60000000000002,0.2681992337164751,0.038314176245210725,7.6995000000000005,0.39150000000000007,5.254800000000001,0.5220000000000001,0.5220000000000001,0.5220000000000001,,,-0.5715424673240241,0.06204206884332168,0.886462523316444,0.02208277026626704,0.7205561912397505,0.04314183595065415,0.04314183595065415,0.04314183595065415,,,53.16411913204882,0.5589343785394225,54.12629566143054,0.023423382461419697,51.508312704005405,0.12652858090336774
6,990506,1.31,1.1e-05,1.5e-07,,,,,0.04,0.01,0.337,0.001,283.0,30.0,30.0,0.13,0.01,44.60634994506836,1.410976529121399,2.574340035241945e+28,1.6727513330519904e+28,9.160820439670875e+52,1.1905667456345157e+53,,,,,30.0,0.017316017316017316,0.004329004329004329,0.05627705627705628,0.004329004329004329,0.7784700000000001,0.00231,653.73,69.3,69.3,69.3,0.17316017316017315,0.04329004329004329,38.923500000000004,0.11549999999999999,2.1791,0.23099999999999998,0.23099999999999998,0.23099999999999998,0.5627705627705628,0.04329004329004329,-0.7615519885641819,0.10857362047581294,1.5902118850995017,0.0012887076614339814,0.3382771606967721,0.04603828430069806,0.04603828430069806,0.04603828430069806,-0.2496686275853075,0.033407267838711674,52.96193437066192,0.5644216818479186,,,,
7,990510,1.62,3.3e-06,1.2e-07,2.85e-05,2.9e-06,0.00213,0.000319,0.03,0.01,0.118,0.001,126.0,10.0,10.0,0.13,0.01,45.00643539428711,1.4709748029708862,3.095159261640055e+28,2.0966885257679823e+28,3.972736907451212e+52,5.384273284743391e+52,1.3095420062729531e+53,2.0601122296605874e+52,2.78932447336139e+50,6.058538049390562e+49,10.0,0.011450381679389311,0.003816793893129771,0.04961832061068702,0.003816793893129771,0.30916,0.0026200000000000004,330.12,26.200000000000003,26.200000000000003,26.200000000000003,0.11450381679389311,0.038167938931297704,15.457999999999998,0.131,1.1004,0.08733333333333335,0.08733333333333335,0.08733333333333335,0.4961832061068702,0.038167938931297704,-0.9411800366000831,0.14476482730108392,1.1891533029618897,0.003680461711044507,0.04155058171764594,0.03446781602406761,0.03446781602406761,0.03446781602406761,-0.3043579390129087,0.03340726783871167,52.599089805069084,0.5886018206333659,53.117119433879964,0.06832124278238026,50.4454990373187,0.09433071227028632
8,990705,0.84,6.6e-06,2.6e-07,0.000134,1.5e-05,0.00348,0.00096,,,0.097,0.004,189.0,15.0,15.0,0.62,0.37,43.723758697509766,1.3637126684188843,1.7145401564342694e+28,1.0767533225822466e+28,2.43808656898163e+52,3.0638054141703274e+52,2.6902470375785447e+53,1.670889793102301e+52,9.362059690773335e+50,2.6472857102107478e+50,15.0,,,0.33695652173913043,0.20108695652173914,0.17848,0.007359999999999999,347.76,27.599999999999998,27.599999999999998,27.599999999999998,,,8.924,0.36799999999999994,1.1592,0.092,0.092,0.092,3.369565217391304,2.010869565217391,,,0.9505595616118001,0.017909050800134094,0.06415837246311817,0.0344678160240676,0.0344678160240676,0.0344678160240676,0.5275738664887174,0.25917573920032766,52.38704912202213,0.5457532976588517,53.42979216183553,0.026973664755559054,50.971371405782115,0.12280434155946829
9,991208,0.71,2.1e-05,2.1e-06,,,,,,,0.023,0.003,190.0,20.0,20.0,0.27,0.01,43.377105712890625,1.336119532585144,1.4615613985702055e+28,8.993071816819189e+27,5.637197976527665e+52,6.960067401767349e+52,,,,,20.0,,,0.15789473684210528,0.0058479532163742695,0.03933,0.00513,324.9,34.2,34.2,34.2,,,1.9665,0.2565,1.083,0.114,0.114,0.114,1.5789473684210527,0.058479532163742694,,,0.29369395074576554,0.05664710633520676,0.03462845662532034,0.04571520862139493,0.04571520862139493,0.04571520862139493,0.19836765376683346,0.01608498081123155,52.75106328736653,0.5362094570473399,,,,
